"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 09 22:05:18 CET 2023","Thu Mar 09 22:05:18 CET 2023","113","tests","test_get_list_of_users","","","","Retrieve List of Users with GET Request",""
"passed","Thu Mar 09 22:05:18 CET 2023","Thu Mar 09 22:05:19 CET 2023","91","tests","test_get_user_by_id","","","","Retrieve Single User by ID with GET Request",""
