"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 13 20:39:02 CET 2023","Mon Mar 13 20:39:02 CET 2023","166","tests","test_register_user","","","","Register user with POST Request",""
"passed","Mon Mar 13 20:39:01 CET 2023","Mon Mar 13 20:39:01 CET 2023","171","tests","test_get_user_by_id","","","","Retrieve Single User by ID with GET Request",""
"passed","Mon Mar 13 20:39:01 CET 2023","Mon Mar 13 20:39:01 CET 2023","338","tests","test_login_user","","","","Login user with POST Request",""
"passed","Mon Mar 13 20:39:01 CET 2023","Mon Mar 13 20:39:01 CET 2023","104","tests","test_get_list_of_users","","","","Retrieve List of Users with GET Request",""
"passed","Mon Mar 13 20:39:01 CET 2023","Mon Mar 13 20:39:02 CET 2023","680","tests","test_logout_user","","","","Logout user with POST Request",""
